0xxx0xxxxxxxxxxxxxxxx 00000001 # IE=0 (during fetch)
00xx10000101111111111 00000001 # jnc opd (Taken)
01xx10000101111111111 00000001 # jnc opd (Skip)
01xx10000110011111111 00000001 # jc opd (Taken)
00xx10000110011111111 00000001 # jc opd (Skip)
0x0x10000110111111111 00000001 # jnz opd (Taken)
0x1x10000110111111111 00000001 # jnz opd (Skip)
0x1x10000111011111111 00000001 # jz opd (Taken)
0x0x10000111011111111 00000001 # jz opd (Skip)
0xx010000111111111111 00000001 # jns opd (Taken)
0xx110000111111111111 00000001 # jns opd (Skip)
0xx110001000011111111 00000001 # js opd (Taken)
0xx010001000011111111 00000001 # js opd (Skip)
0xxx10001000111111111 00000001 # jmp opd
0x1x10001011011111111 00000001 # je opd (Taken)
0x0x10001011011111111 00000001 # je opd (Skip)
0x0x10001011111111111 00000001 # jne opd(Taken)
0x1x10001011111111111 00000001 # jne opd(Skip)
0x0010001100011111111 00000001 # ja opd (Taken)
0xxx10001100011111111 00000001 # ja opd (Skip)
0x0010001100111111111 00000001 # jae opd (Taken)
0x1010001100111111111 00000001 # jae opd (Taken)
0xxx10001100111111111 00000001 # jae opd (Skip)
0x0110001101011111111 00000001 # jl opd (Taken)
0xxx10001101011111111 00000001 # jl opd (Skip)
0x0110001101111111111 00000001 # jle opd (Taken)
0x1010001101111111111 00000001 # jle opd (Taken)
0xxx10001101111111111 00000001 # jle opd (Skip)
0xxx10001001111111111 00000001 # hlt
0xxx10001010011111111 00000001 # nop
0xxxx1111111111111111 00000001 # invaild
0xxx10001010111111111 00000001 # lpc
0xxx10000000000000000 00000001 # add a, a
0xxx10000000000000001 00000001 # add a, b
0xxx10000000000000010 00000001 # add a, c
0xxx10000000000000011 00000001 # add a, d
0xxx10000000000000100 00000001 # add a, e
0xxx10000000000000101 00000001 # add a, bp
0xxx10000000000000110 00000001 # add a, sp
0xxx10000000000010000 00000001 # add b, a
0xxx10000000000010001 00000001 # add b, b
0xxx10000000000010010 00000001 # add b, c
0xxx10000000000010011 00000001 # add b, d
0xxx10000000000010100 00000001 # add b, e
0xxx10000000000010101 00000001 # add b, bp
0xxx10000000000010110 00000001 # add b, sp
0xxx10000000000100000 00000001 # add c, a
0xxx10000000000100001 00000001 # add c, b
0xxx10000000000100010 00000001 # add c, c
0xxx10000000000100011 00000001 # add c, d
0xxx10000000000100100 00000001 # add c, e
0xxx10000000000100101 00000001 # add c, bp
0xxx10000000000100110 00000001 # add c, sp
0xxx10000000000110000 00000001 # add d, a
0xxx10000000000110001 00000001 # add d, b
0xxx10000000000110010 00000001 # add d, c
0xxx10000000000110011 00000001 # add d, d
0xxx10000000000110100 00000001 # add d, e
0xxx10000000000110101 00000001 # add d, bp
0xxx10000000000110110 00000001 # add d, sp
0xxx10000000001000000 00000001 # add e, a
0xxx10000000001000001 00000001 # add e, b
0xxx10000000001000010 00000001 # add e, c
0xxx10000000001000011 00000001 # add e, d
0xxx10000000001000100 00000001 # add e, e
0xxx10000000001000101 00000001 # add e, bp
0xxx10000000001000110 00000001 # add e, sp
0xxx10000000001010000 00000001 # add bp, a
0xxx10000000001010001 00000001 # add bp, b
0xxx10000000001010010 00000001 # add bp, c
0xxx10000000001010011 00000001 # add bp, d
0xxx10000000001010100 00000001 # add bp, e
0xxx10000000001010101 00000001 # add bp, bp
0xxx10000000001010110 00000001 # add bp, sp
0xxx10000000001100000 00000001 # add sp, a
0xxx10000000001100001 00000001 # add sp, b
0xxx10000000001100010 00000001 # add sp, c
0xxx10000000001100011 00000001 # add sp, d
0xxx10000000001100100 00000001 # add sp, e
0xxx10000000001100101 00000001 # add sp, bp
0xxx10000000001100110 00000001 # add sp, sp
0xxx10000000100000000 00000001 # sub a, a
0xxx10000000100000001 00000001 # sub a, b
0xxx10000000100000010 00000001 # sub a, c
0xxx10000000100000011 00000001 # sub a, d
0xxx10000000100000100 00000001 # sub a, e
0xxx10000000100000101 00000001 # sub a, bp
0xxx10000000100000110 00000001 # sub a, sp
0xxx10000000100010000 00000001 # sub b, a
0xxx10000000100010001 00000001 # sub b, b
0xxx10000000100010010 00000001 # sub b, c
0xxx10000000100010011 00000001 # sub b, d
0xxx10000000100010100 00000001 # sub b, e
0xxx10000000100010101 00000001 # sub b, bp
0xxx10000000100010110 00000001 # sub b, sp
0xxx10000000100100000 00000001 # sub c, a
0xxx10000000100100001 00000001 # sub c, b
0xxx10000000100100010 00000001 # sub c, c
0xxx10000000100100011 00000001 # sub c, d
0xxx10000000100100100 00000001 # sub c, e
0xxx10000000100100101 00000001 # sub c, bp
0xxx10000000100100110 00000001 # sub c, sp
0xxx10000000100110000 00000001 # sub d, a
0xxx10000000100110001 00000001 # sub d, b
0xxx10000000100110010 00000001 # sub d, c
0xxx10000000100110011 00000001 # sub d, d
