0xxx0xxxxxxxxxxxxxxxx 000000000000000001111000 1 # IE=0 (during fetch)
00xx10000101111111111 000000011100000000111000 1 # jnc opd (Taken)
01xx10000101111111111 000000000000000001111000 1 # jnc opd (Skip)
01xx10000110011111111 000000011100000000111000 1 # jc opd (Taken)
00xx10000110011111111 000000000000000001111000 1 # jc opd (Skip)
0x0x10000110111111111 000000011100000000111000 1 # jnz opd (Taken)
0x1x10000110111111111 000000000000000001111000 1 # jnz opd (Skip)
0x1x10000111011111111 000000011100000000111000 1 # jz opd (Taken)
0x0x10000111011111111 000000000000000001111000 1 # jz opd (Skip)
0xx010000111111111111 000000011100000000111000 1 # jns opd (Taken)
0xx110000111111111111 000000000000000001111000 1 # jns opd (Skip)
0xx110001000011111111 000000011100000000111000 1 # js opd (Taken)
0xx010001000011111111 000000000000000001111000 1 # js opd (Skip)
0xxx10001000111111111 000000011100000000111000 1 # jmp opd
0x1x10001011011111111 000000011100000000111000 1 # je opd (Taken)
0x0x10001011011111111 000000000000000001111000 1 # je opd (Skip)
0x0x10001011111111111 000000011100000000111000 1 # jne opd(Taken)
0x1x10001011111111111 000000000000000001111000 1 # jne opd(Skip)
0x0010001100011111111 000000011100000000111000 1 # ja opd (Taken)
0xxx10001100011111111 000000000000000001111000 1 # ja opd (Skip)
0x0010001100111111111 000000011100000000111000 1 # jae opd (Taken)
0x1010001100111111111 000000011100000000111000 1 # jae opd (Taken)
0xxx10001100111111111 000000000000000001111000 1 # jae opd (Skip)
0x0110001101011111111 000000011100000000111000 1 # jl opd (Taken)
0xxx10001101011111111 000000000000000001111000 1 # jl opd (Skip)
0x0110001101111111111 000000011100000000111000 1 # jle opd (Taken)
0x1010001101111111111 000000011100000000111000 1 # jle opd (Taken)
0xxx10001101111111111 000000000000000001111000 1 # jle opd (Skip)
0xxx10001001111111111 000001000000000001111000 1 # hlt
0xxx10001010011111111 000000000000000001111000 1 # nop
0xxxx1111111111111111 000000000000000001111000 1 # invaild
0xxx10001010111111111 000000101000000001010000 1 # lpc
0xxx10000000000000000 000010000010000000000000 1 # add a, a
0xxx10000000000000001 000010000010010000000000 1 # add a, b
0xxx10000000000000010 000010000010100000000000 1 # add a, c
0xxx10000000000000011 000010000010110000000000 1 # add a, d
0xxx10000000000000100 000010000011000000000000 1 # add a, e
0xxx10000000000000101 000010000011010000000000 1 # add a, bp
0xxx10000000000000110 000010000011100000000000 1 # add a, sp
0xxx10000000000010000 000010000110000000001000 1 # add b, a
0xxx10000000000010001 000010000110010000001000 1 # add b, b
0xxx10000000000010010 000010000110100000001000 1 # add b, c
0xxx10000000000010011 000010000110110000001000 1 # add b, d
0xxx10000000000010100 000010000111000000001000 1 # add b, e
0xxx10000000000010101 000010000111010000001000 1 # add b, bp
0xxx10000000000010110 000010000111100000001000 1 # add b, sp
0xxx10000000000100000 000010001010000000010000 1 # add c, a
0xxx10000000000100001 000010001010010000010000 1 # add c, b
0xxx10000000000100010 000010001010100000010000 1 # add c, c
0xxx10000000000100011 000010001010110000010000 1 # add c, d
0xxx10000000000100100 000010001011000000010000 1 # add c, e
0xxx10000000000100101 000010001011010000010000 1 # add c, bp
0xxx10000000000100110 000010001011100000010000 1 # add c, sp
0xxx10000000000110000 000010001110000000011000 1 # add d, a
0xxx10000000000110001 000010001110010000011000 1 # add d, b
0xxx10000000000110010 000010001110100000011000 1 # add d, c
0xxx10000000000110011 000010001110110000011000 1 # add d, d
0xxx10000000000110100 000010001111000000011000 1 # add d, e
0xxx10000000000110101 000010001111010000011000 1 # add d, bp
0xxx10000000000110110 000010001111100000011000 1 # add d, sp
0xxx10000000001000000 000010010010000000100000 1 # add e, a
0xxx10000000001000001 000010010010010000100000 1 # add e, b
0xxx10000000001000010 000010010010100000100000 1 # add e, c
0xxx10000000001000011 000010010010110000100000 1 # add e, d
0xxx10000000001000100 000010010011000000100000 1 # add e, e
0xxx10000000001000101 000010010011010000100000 1 # add e, bp
0xxx10000000001000110 000010010011100000100000 1 # add e, sp
0xxx10000000001010000 000010010110000000101000 1 # add bp, a
0xxx10000000001010001 000010010110010000101000 1 # add bp, b
0xxx10000000001010010 000010010110100000101000 1 # add bp, c
0xxx10000000001010011 000010010110110000101000 1 # add bp, d
0xxx10000000001010100 000010010111000000101000 1 # add bp, e
0xxx10000000001010101 000010010111010000101000 1 # add bp, bp
0xxx10000000001010110 000010010111100000101000 1 # add bp, sp
0xxx10000000001100000 000010011010000000110000 1 # add sp, a
0xxx10000000001100001 000010011010010000110000 1 # add sp, b
0xxx10000000001100010 000010011010100000110000 1 # add sp, c
0xxx10000000001100011 000010011010110000110000 1 # add sp, d
0xxx10000000001100100 000010011011000000110000 1 # add sp, e
0xxx10000000001100101 000010011011010000110000 1 # add sp, bp
0xxx10000000001100110 000010011011100000110000 1 # add sp, sp
0xxx10000000100000000 000010000010000010000000 1 # sub a, a
0xxx10000000100000001 000010000010010010000000 1 # sub a, b
0xxx10000000100000010 000010000010100010000000 1 # sub a, c
0xxx10000000100000011 000010000010110010000000 1 # sub a, d
0xxx10000000100000100 000010000011000010000000 1 # sub a, e
0xxx10000000100000101 000010000011010010000000 1 # sub a, bp
0xxx10000000100000110 000010000011100010000000 1 # sub a, sp
0xxx10000000100010000 000010000110000010001000 1 # sub b, a
0xxx10000000100010001 000010000110010010001000 1 # sub b, b
0xxx10000000100010010 000010000110100010001000 1 # sub b, c
0xxx10000000100010011 000010000110110010001000 1 # sub b, d
0xxx10000000100010100 000010000111000010001000 1 # sub b, e
0xxx10000000100010101 000010000111010010001000 1 # sub b, bp
0xxx10000000100010110 000010000111100010001000 1 # sub b, sp
0xxx10000000100100000 000010001010000010010000 1 # sub c, a
0xxx10000000100100001 000010001010010010010000 1 # sub c, b
0xxx10000000100100010 000010001010100010010000 1 # sub c, c
0xxx10000000100100011 000010001010110010010000 1 # sub c, d
0xxx10000000100100100 000010001011000010010000 1 # sub c, e
0xxx10000000100100101 000010001011010010010000 1 # sub c, bp
0xxx10000000100100110 000010001011100010010000 1 # sub c, sp
0xxx10000000100110000 000010001110000010011000 1 # sub d, a
0xxx10000000100110001 000010001110010010011000 1 # sub d, b
0xxx10000000100110010 000010001110100010011000 1 # sub d, c
0xxx10000000100110011 000010001110110010011000 1 # sub d, d
0xxx10000000100110100 000010001111000010011000 1 # sub d, e
0xxx10000000100110101 000010001111010010011000 1 # sub d, bp
0xxx10000000100110110 000010001111100010011000 1 # sub d, sp
0xxx10000000101000000 000010010010000010100000 1 # sub e, a
0xxx10000000101000001 000010010010010010100000 1 # sub e, b
0xxx10000000101000010 000010010010100010100000 1 # sub e, c
0xxx10000000101000011 000010010010110010100000 1 # sub e, d
0xxx10000000101000100 000010010011000010100000 1 # sub e, e
0xxx10000000101000101 000010010011010010100000 1 # sub e, bp
0xxx10000000101000110 000010010011100010100000 1 # sub e, sp
0xxx10000000101010000 000010010110000010101000 1 # sub bp, a
0xxx10000000101010001 000010010110010010101000 1 # sub bp, b
0xxx10000000101010010 000010010110100010101000 1 # sub bp, c
0xxx10000000101010011 000010010110110010101000 1 # sub bp, d
0xxx10000000101010100 000010010111000010101000 1 # sub bp, e
0xxx10000000101010101 000010010111010010101000 1 # sub bp, bp
0xxx10000000101010110 000010010111100010101000 1 # sub bp, sp
0xxx10000000101100000 000010011010000010110000 1 # sub sp, a
0xxx10000000101100001 000010011010010010110000 1 # sub sp, b
0xxx10000000101100010 000010011010100010110000 1 # sub sp, c
0xxx10000000101100011 000010011010110010110000 1 # sub sp, d
0xxx10000000101100100 000010011011000010110000 1 # sub sp, e
0xxx10000000101100101 000010011011010010110000 1 # sub sp, bp
0xxx10000000101100110 000010011011100010110000 1 # sub sp, sp
0xxx10000001000000000 000010000010000100000000 1 # mul a, a
0xxx10000001000000001 000010000010010100000000 1 # mul a, b
0xxx10000001000000010 000010000010100100000000 1 # mul a, c
0xxx10000001000000011 000010000010110100000000 1 # mul a, d
0xxx10000001000000100 000010000011000100000000 1 # mul a, e
0xxx10000001000000101 000010000011010100000000 1 # mul a, bp
0xxx10000001000000110 000010000011100100000000 1 # mul a, sp
0xxx10000001000010000 000010000110000100001000 1 # mul b, a
0xxx10000001000010001 000010000110010100001000 1 # mul b, b
0xxx10000001000010010 000010000110100100001000 1 # mul b, c
0xxx10000001000010011 000010000110110100001000 1 # mul b, d
0xxx10000001000010100 000010000111000100001000 1 # mul b, e
0xxx10000001000010101 000010000111010100001000 1 # mul b, bp
0xxx10000001000010110 000010000111100100001000 1 # mul b, sp
0xxx10000001000100000 000010001010000100010000 1 # mul c, a
0xxx10000001000100001 000010001010010100010000 1 # mul c, b
0xxx10000001000100010 000010001010100100010000 1 # mul c, c
0xxx10000001000100011 000010001010110100010000 1 # mul c, d
0xxx10000001000100100 000010001011000100010000 1 # mul c, e
0xxx10000001000100101 000010001011010100010000 1 # mul c, bp
0xxx10000001000100110 000010001011100100010000 1 # mul c, sp
0xxx10000001000110000 000010001110000100011000 1 # mul d, a
0xxx10000001000110001 000010001110010100011000 1 # mul d, b
0xxx10000001000110010 000010001110100100011000 1 # mul d, c
0xxx10000001000110011 000010001110110100011000 1 # mul d, d
0xxx10000001000110100 000010001111000100011000 1 # mul d, e
