# 状態と値の対応
# INT_Check 00000000
# Instruction_Fetch_1 00000001
# Instruction_Fetch_2 00000010
# Microcode_Execute_11 00000011
# Microcode_Execute_21 00000100
# Microcode_Execute_22 00000101
# Instruction_Check 00000110
# INT_PROC_1 00000111
# INT_PROC_2 00001000
# INT_PROC_3 00001001
# INT_PROC_4 00001010
# INT_PROC_5 00001011
# INT_PROC_6 00001100
# INT_PROC_7 00001101
# INT_PROC_8 00001110
# INT_PROC_9 00001111
# INT_PROC_10 00010000
# INT_PROC_11 00010001
# INT_PROC_12 00010010
# INT_PROC_13 00010011
# Microcode_Execute_71 00010100
# Microcode_Execute_72 00010101
# Microcode_Execute_73 00010110
# Microcode_Execute_74 00010111
# Microcode_Execute_75 00011000
# Microcode_Execute_76 00011001
# Microcode_Execute_77 00011010
# Microcode_Execute_61    00011011
# Microcode_Execute_62    00011100
# Microcode_Execute_63    00011101
# Microcode_Execute_64    00011110
# Microcode_Execute_65    00011111
# Microcode_Execute_66    00100000
# Microcode_Execute_10_1  00100001
# Microcode_Execute_10_2  00100010
# Microcode_Execute_10_3  00100011
# Microcode_Execute_10_4  00100100
# Microcode_Execute_10_5  00100101
# Microcode_Execute_10_6  00100110
# Microcode_Execute_10_7  00100111
# Microcode_Execute_10_8  00101000
# Microcode_Execute_10_9  00101001
# Microcode_Execute_10_10 00101010

00000000 0000001 #INT_Check
00000001 0100010 #Instruction_Fetch_1
00000010 0100010 #Instruction_Fetch_2
00000011 0001100 #Microcode_Execute_11
00000100 0010100 #Microcode_Execute_21
00000101 0001100 #Microcode_Execute_22
00000110 0000000 #Instruction_Check
00000111 0010101 #INT_PROC_1
00001000 0010101 #INT_PROC_2
00001001 0010101 #INT_PROC_3
00001010 0010101 #INT_PROC_4
00001011 0010101 #INT_PROC_5
00001100 0010101 #INT_PROC_6
00001101 0010101 #INT_PROC_7
00001110 0010101 #INT_PROC_8
00001111 0010101 #INT_PROC_9
00010000 0010101 #INT_PROC_10
00010001 0010101 #INT_PROC_11
00010010 0010101 #INT_PROC_12
00010011 0001101 #INT_PROC_13
00010100 0010101 # Microcode_Execute_71
00010101 0010101 # Microcode_Execute_72
00010110 0010101 # Microcode_Execute_73
00010111 0010101 # Microcode_Execute_74
00011000 0010101 # Microcode_Execute_75
00011001 0010101 # Microcode_Execute_76
00011010 1001101 # Microcode_Execute_77
00011011 0010100 # Microcode_Execute_61   
00011100 0010100 # Microcode_Execute_62   
00011101 0010100 # Microcode_Execute_63   
00011110 0010100 # Microcode_Execute_64   
00011111 0010100 # Microcode_Execute_65   
00100000 0001100 # Microcode_Execute_66   
00100001 0010100 # Microcode_Execute_10_1 
00100010 0010100 # Microcode_Execute_10_2 
00100011 0010100 # Microcode_Execute_10_3 
00100100 0010100 # Microcode_Execute_10_4 
00100101 0010100 # Microcode_Execute_10_5 
00100110 0010100 # Microcode_Execute_10_6 
00100111 0010100 # Microcode_Execute_10_7 
00101000 0010100 # Microcode_Execute_10_8 
00101001 0010100 # Microcode_Execute_10_9 
00101010 0001100 # Microcode_Execute_10_10
