# Logisim PLA program table
0000000000000001 000000000000001 # 1
0000000000000010 000000000000011 # 2
0000000000000011 000000000000111 # 3
0000000000000100 000000000001111 # 4
0000000000000101 000000000011111 # 5
0000000000000110 000000000111111 # 6
0000000000000111 000000001111111 # 7
0000000000001000 000000011111111 # 8
0000000000001001 000000111111111 # 9
0000000000001010 000001111111111 # 10
0000000000001011 000011111111111 # 11
0000000000001100 000111111111111 # 12
0000000000001101 001111111111111 # 13
0000000000001110 011111111111111 # 14
0000000000001111 111111111111111 # 15
